,index,latitude,longitude
740,740,34.75,-100.75
741,741,34.75,-100.25
742,742,34.75,-99.75
743,743,34.75,-99.25
744,744,34.75,-98.75
745,745,34.75,-98.25
746,746,34.75,-97.75
747,747,34.75,-97.25
748,748,34.75,-96.75
749,749,34.75,-96.25
750,750,34.75,-95.75
751,751,34.75,-95.25
752,752,34.75,-94.75
753,753,34.75,-94.25
754,754,34.75,-93.75
755,755,34.75,-93.25
756,756,34.75,-92.75
757,757,34.75,-92.25
758,758,34.75,-91.75
759,759,34.75,-91.25
760,760,34.75,-90.75
761,761,34.75,-90.25
762,762,34.75,-89.75
763,763,34.75,-89.25
764,764,34.75,-88.75
765,765,34.75,-88.25
766,766,34.75,-87.75
767,767,34.75,-87.25
768,768,34.75,-86.75
769,769,34.75,-86.25
770,770,34.75,-85.75
771,771,34.75,-85.25
772,772,34.75,-84.75
773,773,34.75,-84.25
774,774,34.75,-83.75
775,775,34.75,-83.25
776,776,34.75,-82.75
777,777,34.75,-82.25
778,778,34.75,-81.75
779,779,34.75,-81.25
780,780,34.75,-80.75
781,781,34.75,-80.25
782,782,34.75,-79.75
783,783,34.75,-79.25
784,784,34.75,-78.75
785,785,34.75,-78.25
786,786,34.75,-77.75
787,787,34.75,-77.25
788,788,35.25,-120.75
789,789,35.25,-120.25
790,790,35.25,-119.75
791,791,35.25,-119.25
792,792,35.25,-118.75
793,793,35.25,-118.25
794,794,35.25,-117.75
795,795,35.25,-117.25
796,796,35.25,-116.75
797,797,35.25,-116.25
798,798,35.25,-115.75
799,799,35.25,-115.25
800,800,35.25,-114.75
801,801,35.25,-114.25
802,802,35.25,-113.75
803,803,35.25,-113.25
804,804,35.25,-112.75
805,805,35.25,-112.25
806,806,35.25,-111.75
807,807,35.25,-111.25
808,808,35.25,-110.75
809,809,35.25,-110.25
810,810,35.25,-109.75
811,811,35.25,-109.25
812,812,35.25,-108.75
813,813,35.25,-108.25
814,814,35.25,-107.75
815,815,35.25,-107.25
816,816,35.25,-106.75
817,817,35.25,-106.25
818,818,35.25,-105.75
819,819,35.25,-105.25
820,820,35.25,-104.75
821,821,35.25,-104.25
822,822,35.25,-103.75
823,823,35.25,-103.25
824,824,35.25,-102.75
825,825,35.25,-102.25
826,826,35.25,-101.75
827,827,35.25,-101.25
828,828,35.25,-100.75
829,829,35.25,-100.25
830,830,35.25,-99.75
831,831,35.25,-99.25
832,832,35.25,-98.75
833,833,35.25,-98.25
834,834,35.25,-97.75
835,835,35.25,-97.25
836,836,35.25,-96.75
837,837,35.25,-96.25
838,838,35.25,-95.75
839,839,35.25,-95.25
840,840,35.25,-94.75
841,841,35.25,-94.25
842,842,35.25,-93.75
843,843,35.25,-93.25
844,844,35.25,-92.75
845,845,35.25,-92.25
846,846,35.25,-91.75
847,847,35.25,-91.25
848,848,35.25,-90.75
849,849,35.25,-90.25
850,850,35.25,-89.75
851,851,35.25,-89.25
852,852,35.25,-88.75
853,853,35.25,-88.25
854,854,35.25,-87.75
855,855,35.25,-87.25
856,856,35.25,-86.75
857,857,35.25,-86.25
858,858,35.25,-85.75
859,859,35.25,-85.25
860,860,35.25,-84.75
861,861,35.25,-84.25
862,862,35.25,-83.75
863,863,35.25,-83.25
864,864,35.25,-82.75
865,865,35.25,-82.25
866,866,35.25,-81.75
867,867,35.25,-81.25
868,868,35.25,-80.75
869,869,35.25,-80.25
870,870,35.25,-79.75
871,871,35.25,-79.25
872,872,35.25,-78.75
873,873,35.25,-78.25
874,874,35.25,-77.75
875,875,35.25,-77.25
876,876,35.25,-76.75
877,877,35.75,-121.25
878,878,35.75,-120.75
879,879,35.75,-120.25
880,880,35.75,-119.75
881,881,35.75,-119.25
882,882,35.75,-118.75
883,883,35.75,-118.25
884,884,35.75,-117.75
885,885,35.75,-117.25
886,886,35.75,-116.75
887,887,35.75,-116.25
888,888,35.75,-115.75
889,889,35.75,-115.25
890,890,35.75,-114.75
891,891,35.75,-114.25
892,892,35.75,-113.75
893,893,35.75,-113.25
894,894,35.75,-112.75
895,895,35.75,-112.25
896,896,35.75,-111.75
897,897,35.75,-111.25
898,898,35.75,-110.75
899,899,35.75,-110.25
900,900,35.75,-109.75
901,901,35.75,-109.25
902,902,35.75,-108.75
903,903,35.75,-108.25
904,904,35.75,-107.75
905,905,35.75,-107.25
906,906,35.75,-106.75
907,907,35.75,-106.25
908,908,35.75,-105.75
909,909,35.75,-105.25
910,910,35.75,-104.75
911,911,35.75,-104.25
912,912,35.75,-103.75
913,913,35.75,-103.25
914,914,35.75,-102.75
915,915,35.75,-102.25
916,916,35.75,-101.75
917,917,35.75,-101.25
918,918,35.75,-100.75
919,919,35.75,-100.25
920,920,35.75,-99.75
921,921,35.75,-99.25
922,922,35.75,-98.75
923,923,35.75,-98.25
924,924,35.75,-97.75
925,925,35.75,-97.25
926,926,35.75,-96.75
927,927,35.75,-96.25
928,928,35.75,-95.75
929,929,35.75,-95.25
930,930,35.75,-94.75
931,931,35.75,-94.25
932,932,35.75,-93.75
933,933,35.75,-93.25
934,934,35.75,-92.75
935,935,35.75,-92.25
936,936,35.75,-91.75
937,937,35.75,-91.25
938,938,35.75,-90.75
939,939,35.75,-90.25
940,940,35.75,-89.75
941,941,35.75,-89.25
942,942,35.75,-88.75
943,943,35.75,-88.25
944,944,35.75,-87.75
945,945,35.75,-87.25
946,946,35.75,-86.75
947,947,35.75,-86.25
948,948,35.75,-85.75
949,949,35.75,-85.25
950,950,35.75,-84.75
951,951,35.75,-84.25
952,952,35.75,-83.75
953,953,35.75,-83.25
954,954,35.75,-82.75
955,955,35.75,-82.25
956,956,35.75,-81.75
957,957,35.75,-81.25
958,958,35.75,-80.75
959,959,35.75,-80.25
960,960,35.75,-79.75
961,961,35.75,-79.25
962,962,35.75,-78.75
963,963,35.75,-78.25
964,964,35.75,-77.75
965,965,35.75,-77.25
966,966,35.75,-76.75
967,967,35.75,-76.25
968,968,36.25,-121.25
969,969,36.25,-120.75
970,970,36.25,-120.25
971,971,36.25,-119.75
972,972,36.25,-119.25
973,973,36.25,-118.75
974,974,36.25,-118.25
975,975,36.25,-117.75
976,976,36.25,-117.25
977,977,36.25,-116.75
978,978,36.25,-116.25
979,979,36.25,-115.75
980,980,36.25,-115.25
981,981,36.25,-114.75
982,982,36.25,-114.25
983,983,36.25,-113.75
984,984,36.25,-113.25
985,985,36.25,-112.75
986,986,36.25,-112.25
987,987,36.25,-111.75
988,988,36.25,-111.25
989,989,36.25,-110.75
990,990,36.25,-110.25
991,991,36.25,-109.75
992,992,36.25,-109.25
993,993,36.25,-108.75
994,994,36.25,-108.25
995,995,36.25,-107.75
996,996,36.25,-107.25
997,997,36.25,-106.75
998,998,36.25,-106.25
999,999,36.25,-105.75
1000,1000,36.25,-105.25
1001,1001,36.25,-104.75
1002,1002,36.25,-104.25
1003,1003,36.25,-103.75
1004,1004,36.25,-103.25
1005,1005,36.25,-102.75
1006,1006,36.25,-102.25
1007,1007,36.25,-101.75
1008,1008,36.25,-101.25
1009,1009,36.25,-100.75
1010,1010,36.25,-100.25
1011,1011,36.25,-99.75
1012,1012,36.25,-99.25
1013,1013,36.25,-98.75
1014,1014,36.25,-98.25
1015,1015,36.25,-97.75
1016,1016,36.25,-97.25
1017,1017,36.25,-96.75
1018,1018,36.25,-96.25
1019,1019,36.25,-95.75
1020,1020,36.25,-95.25
1021,1021,36.25,-94.75
1022,1022,36.25,-94.25
1023,1023,36.25,-93.75
1024,1024,36.25,-93.25
1025,1025,36.25,-92.75
1026,1026,36.25,-92.25
1027,1027,36.25,-91.75
1028,1028,36.25,-91.25
1029,1029,36.25,-90.75
1030,1030,36.25,-90.25
1031,1031,36.25,-89.75
1032,1032,36.25,-89.25
1033,1033,36.25,-88.75
1034,1034,36.25,-88.25
1035,1035,36.25,-87.75
1036,1036,36.25,-87.25
1037,1037,36.25,-86.75
1038,1038,36.25,-86.25
1039,1039,36.25,-85.75
1040,1040,36.25,-85.25
1041,1041,36.25,-84.75
1042,1042,36.25,-84.25
1043,1043,36.25,-83.75
1044,1044,36.25,-83.25
1045,1045,36.25,-82.75
1046,1046,36.25,-82.25
1047,1047,36.25,-81.75
1048,1048,36.25,-81.25
1049,1049,36.25,-80.75
1050,1050,36.25,-80.25
1051,1051,36.25,-79.75
1052,1052,36.25,-79.25
1053,1053,36.25,-78.75
1054,1054,36.25,-78.25
1055,1055,36.25,-77.75
1056,1056,36.25,-77.25
1057,1057,36.25,-76.75
1058,1058,36.25,-76.25
1059,1059,36.75,-121.75
1060,1060,36.75,-121.25
1061,1061,36.75,-120.75
1062,1062,36.75,-120.25
